Date,Ticker,Close,Shares,MarketCap
2022-08-19 00:00:00-04:00,AAPL,,,
2022-08-19 00:00:00-04:00,BIDU,,,
2022-08-23 00:00:00-04:00,GOOGL,113.86000061035156,13088799744.0,1490290746840.6094
2022-08-23 00:00:00-04:00,TCEHY,37.51041793823242,9742359552.0,365439978500.0508
2022-08-23 00:00:00-04:00,TSLA,,,
2022-08-23 00:00:00-04:00,MSFT,,,
2022-08-23 00:00:00-04:00,META,,,
2022-08-23 00:00:00-04:00,AMD,,,
2022-08-23 00:00:00-04:00,BABA,89.83000183105469,2653390080.0,238354035744.90234
2022-08-23 00:00:00-04:00,AMZN,,,
2022-08-23 00:00:00-04:00,AAPL,,,
2022-08-23 00:00:00-04:00,BIDU,134.07000732421875,345551008.0,46328026173.45117
2022-08-29 00:00:00-04:00,GOOGL,109.41999816894531,13097600000.0,1433139368017.5781
2022-08-29 00:00:00-04:00,TCEHY,38.41542053222656,9624639488.0,369734573402.59375
2022-08-29 00:00:00-04:00,TSLA,284.82000732421875,3133469952.0,892474934678.8594
2022-08-29 00:00:00-04:00,MSFT,,,
2022-08-29 00:00:00-04:00,META,,,
2022-08-29 00:00:00-04:00,AMD,,,
2022-08-29 00:00:00-04:00,BABA,96.5999984741211,2647539968.0,255752356868.9746
2022-08-29 00:00:00-04:00,AMZN,,,
2022-08-29 00:00:00-04:00,AAPL,,,
2022-08-29 00:00:00-04:00,BIDU,147.32000732421875,346788000.0,51088810699.95117
2022-08-30 00:00:00-04:00,GOOGL,108.94000244140625,13095799808.0,1426656463055.6875
2022-08-30 00:00:00-04:00,TCEHY,37.7083854675293,9707289600.0,366046218081.7383
2022-08-30 00:00:00-04:00,TSLA,,,
2022-08-30 00:00:00-04:00,MSFT,,,
2022-08-30 00:00:00-04:00,META,,,
2022-08-30 00:00:00-04:00,AMD,,,
2022-08-30 00:00:00-04:00,BABA,93.83999633789062,2658240000.0,249449231865.23438
2022-08-30 00:00:00-04:00,AMZN,,,
2022-08-30 00:00:00-04:00,AAPL,,,
2022-08-30 00:00:00-04:00,BIDU,137.69000244140625,348600000.0,47998734851.07422
2022-09-02 00:00:00-04:00,GOOGL,107.8499984741211,13089500160.0,1411702572283.0078
2022-09-02 00:00:00-04:00,TCEHY,,,
2022-09-02 00:00:00-04:00,TSLA,270.2099914550781,3133469952.0,846694888954.6641
2022-09-02 00:00:00-04:00,MSFT,253.0962371826172,7488540160.0,1895321336486.914
2022-09-02 00:00:00-04:00,META,160.32000732421875,2687549952.0,430868027988.84375
2022-09-02 00:00:00-04:00,AMD,80.23999786376953,1614320000.0,129533033351.44043
2022-09-02 00:00:00-04:00,BABA,91.80000305175781,2655239936.0,243751034227.94922
2022-09-02 00:00:00-04:00,AMZN,127.51000213623047,10187599872.0,1299020881441.7812
2022-09-02 00:00:00-04:00,AAPL,154.68734741210938,16070800384.0,2485949482190.4688
2022-09-02 00:00:00-04:00,BIDU,140.0500030517578,343747008.0,48141769519.43262
2022-09-13 00:00:00-04:00,GOOGL,104.31999969482422,13100099584.0,1366602384605.0469
2022-09-13 00:00:00-04:00,TCEHY,,,
2022-09-13 00:00:00-04:00,TSLA,,,
2022-09-13 00:00:00-04:00,MSFT,,,
